Title,Language,Hapax,Words
De Rerum Natura,Latin,5876,51528
Aeneid,Latin,6374,69544
Pharsalia,Latin,6655,55314
Thebaid,Latin,8658,68735
Africa,neo-Latin,2733,8124
Commedia,Italian,8002,97259
Morgante,Italian,5038,196293
L'Innamoramento de Orlando,Italian,4640,249487
Orlando furioso,Italian,5756,284502
L'Italia liberata dai Goti,Italian,5763,198667
Gerusalemme liberata,Italian,3049,116145
Faerie Queene,English,6374,295592
Venus and Adonis,English,1256,10048
Paradise Lost,English,4330,86622
Ulysses,English,13147,270316
Finnagan's Wake,Macaronic,17197,78766
Baldus,Macaronic,15524,100110
